Treatment,SHOOT,ROOT,Week,Type,Rate,Fert,,Control,SME,ESN,SME,Urea (0.5),SME,Urea (1),SME
C,0.0112,0.0004,1,CK,0,CK0,1,0.02,0.01,0.02,0.01,0.02,0,0.02,0
C,0.0348,0.0151,1,CK,0,CK0,2,0.16,0.03,0.19,0.03,0.15,0.01,0.12,0.02
C,0.0321,0.0067,1,CK,0,CK0,3,0.37,0.06,0.45,0.07,0.56,0.13,0.34,0.1
C,0.0071,0.0017,1,CK,0,CK0,4,1.32,0.24,2.2,0.2,1.09,0.24,0.9,0.22
C,0.0243,0.0026,1,CK,0,CK0,5,2.22,0.37,3.93,0.73,2.79,0.74,4.23,0.23
T1,0.0166,0.002,1,Urea,0.5,Urea0.5,6,2.54,0.56,5.34,0.35,5.04,0.78,2.59,0.64
T1,0.0136,0.0012,1,Urea,0.5,Urea0.5,7,2.56,0.51,8.57,0.45,5.89,0.61,3.26,0.78
T1,0.0196,0.0017,1,Urea,0.5,Urea0.5,8,3.32,0.35,10.94,0.86,8.22,0.94,6.93,0.77
T1,0.017,0.0032,1,Urea,0.5,Urea0.5,,,,,,,,,
T1,0.0216,0.0019,1,Urea,0.5,Urea0.5,,,,,,,,,
T2,0.0209,0.0014,1,Urea,1,Urea1,,,,,,,,,
T2,0.0229,0.0025,1,Urea,1,Urea1,,,,,,,,,
T2,0.0183,0.0014,1,Urea,1,Urea1,,,,,,,,,
T2,0.0179,0.0022,1,Urea,1,Urea1,,,,,,,,,
T2,0.019,0.001,1,Urea,1,Urea1,,,,,,,,,
T3,0.0198,0.0021,1,ESN,1,ESN1,,,,,,,,,
T3,0.0255,0.004,1,ESN,1,ESN1,,,,,,,,,
T3,0.0072,0.0006,1,ESN,1,ESN1,,,,,,,,,
T3,0.0164,0.0056,1,ESN,1,ESN1,,,,,,,,,
T3,0.0536,0.0093,1,ESN,1,ESN1,,Control,SME,ESN,SME,Urea (0.5),SME,Urea (1),SME
C,0.1332,0.0122,2,CK,0,CK0,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C,0.1119,0.0164,2,CK,0,CK0,2,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00
C,0.2213,0.029,2,CK,0,CK0,3,0.07,0.01,0.07,0.01,0.07,0.01,0.05,0.02
C,0.0822,0.0256,2,CK,0,CK0,4,0.24,0.03,0.26,0.05,0.16,0.03,0.13,0.02
C,0.2527,0.0297,2,CK,0,CK0,5,0.36,0.08,0.49,0.06,0.33,0.07,0.35,0.04
T1,0.2638,0.0163,2,Urea,0.5,Urea0.5,6,0.51,0.13,1.41,0.19,0.94,0.12,0.39,0.12
T1,0.0807,0.0057,2,Urea,0.5,Urea0.5,7,0.40,0.06,1.56,0.15,0.71,0.12,0.45,0.05
T1,0.1498,0.0107,2,Urea,0.5,Urea0.5,8,0.67,0.08,2.20,0.25,1.49,0.31,1.21,0.28
T1,0.1496,0.016,2,Urea,0.5,Urea0.5,,,,,,,,,
T1,0.1273,0.0108,2,Urea,0.5,Urea0.5,,,,,,,,,
T2,0.1836,0.0142,2,Urea,1,Urea1,,,,,,,,,
T2,0.1208,0.0181,2,Urea,1,Urea1,,,,,,,,,
